"Make","Model","Price","Year","Kilometer","Engine","Max.Power","Max.Torque","Length","Width","Seating.Capacity","Fuel.Tank.Capacity"
"Hyundai","Santro GL (CNG)",145000,2009,"72000",1086,62,96,"3565",1525,5,35
"Tata","Tiago Revotron XE [2016-2019]",409000,2018,"27069",1199,84,114,"3746",1647,5,35
"Tata","Tigor Revotorq XT",490000,2018,"43000",1047,69,140,"3992",1677,5,35
"Toyota","Innova 2.4 G 8 STR [2016-2017]",1900000,2019,"71000",2393,148,343,"4735",1830,8,55
"Mercedes-Benz","GLC 220 d Progressive",3850000,2017,"45600",2143,168,400,"4656",1890,5,66
"Hyundai","Creta SX 1.6 CRDi (O)",1125000,2018,"60000",1582,126,260,"4270",1780,5,55
"Mercedes-Benz","M-Class ML 250 CDI",2300000,2014,"105101",2143,203,500,"4804",2141,5,70
"Toyota","Corolla Altis VL AT Petrol",1095000,2016,"45000",1798,138,173,"4620",1775,5,55
"Audi","A4 2.0 TDI (177bhp) Premium Plus",1575000,2013,"66000",1968,177,380,"4701",1826,5,63
"Hyundai","Elite i20 Asta 1.2",525000,2015,"68397",1197,82,115,"3985",1734,5,45
"Mahindra","Thar CRDe 4x4 AC",625000,2015,"65000",2498,105,247,"3920",1726,6,60
"Maruti Suzuki","Baleno Delta 1.2",605000,2019,"27469",1197,83,115,"3995",1745,5,37
"Maruti Suzuki","Celerio VXi AMT",412000,2016,"41058",998,67,90,"3600",1600,5,35
"Maruti Suzuki","Ciaz VDi SHVS",625000,2016,"51330",1248,89,200,"4490",1730,5,43
"Maruti Suzuki","Ciaz VXi",511000,2015,"45969",1373,91,130,"4490",1730,5,43
"Hyundai","Creta SX Plus 1.6 AT CRDI",1150000,2017,"66602",1582,126,265,"4270",1780,5,60
"Hyundai","Creta SX Plus 1.6  Petrol",885000,2016,"57983",1591,122,154,"4270",1780,5,60
"Renault","Kwid 1.0 RXT AMT Opt",470000,2019,"11183",999,67,91,"3679",1579,5,28
"MG","Hector Sharp 2.0 Diesel [2019-2020]",1611000,2019,"46301",1956,169,350,"4655",1835,5,60
"Tata","Tiago Revotron XZA [2017-2019]",475000,2017,"34867",1199,84,114,"3746",1647,5,35
"Toyota","Innova 2.5 GX BS IV 7 STR",865000,2015,"43634",2494,101,200,"4585",1765,7,55
"BMW","X3 xDrive 20d Luxury Line [2018-2020]",3800000,2018,"9512",1995,190,400,"4657",1881,5,67
"Jeep","Compass Limited Plus 2.0 Diesel 4x4 AT",2475000,2020,"11293",1956,171,350,"4395",1818,5,60
"Mahindra","Scorpio SLE BS-IV",400000,2014,"78000",2179,120,290,"4430",1817,8,60
"Honda","Brio S MT",440000,2016,"50374",1198,87,109,"3610",1680,5,35
"BMW","3-Series 320i Luxury Line",2800000,2017,"15900",1998,181,270,"4633",1811,5,57
"Honda","City V Petrol [2017-2019]",645000,2017,"64000",1497,117,145,"4440",1695,5,40
"Volkswagen","Polo Highline1.2L (D)",365000,2013,"78000",1199,74,180,"3970",1682,5,45
"Maruti Suzuki","Vitara Brezza ZXi Plus",1044999,2021,"24000",1462,103,138,"3995",1790,5,48
"Maruti Suzuki","Eeco 7 STR [2019-2020]",515000,2019,"40310",1196,73,101,"3675",1475,7,40
"Hyundai","Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016]",455000,2015,"69700",1197,79,112,"3765",1660,5,43
"BMW","X3 xDrive20d",1800000,2012,"74073",1995,184,380,"4648",1881,5,67
"Toyota","Fortuner 2.8 4x2 AT [2016-2020]",3499000,2019,"73000",2755,174,450,"4795",1855,7,80
"Honda","Civic 1.8S MT",190000,2006,"130000",1799,130,171,"4545",1750,5,50
"Maruti Suzuki","Swift ZXi Plus AMT",775000,2021,"24000",1197,89,113,"3845",1735,5,37
"Hyundai","Elite i20 Sportz 1.5 MT Diesel",825000,2021,"43000",1493,99,240,"3995",1775,5,37
"Audi","A3 35 TDI Technology + Sunroof",2250000,2016,"40500",1968,141,320,"4456",1796,5,50
"Honda","City V CVT Petrol [2017-2019]",865000,2017,"49013",1497,117,145,"4440",1695,5,40
"Ford","Figo Duratorq Diesel Titanium 1.4",299000,2013,"64983",1399,68,160,"3795",1680,5,45
"Honda","Jazz VX Petrol",570000,2017,"92270",1199,89,110,"3955",1694,5,40
"Volkswagen","Polo Highline1.2L (P)",385000,2013,"65000",1198,74,110,"3970",1682,5,45
"Honda","Amaze 1.5 SX i-DTEC",350000,2014,"110000",1498,99,200,"3990",1680,5,35
"Toyota","Camry 2.5L AT",2345000,2017,"47000",2494,179,233,"4825",1825,5,70
"Mahindra","Thar LX 4-STR Hard Top Petrol AT",1650000,2022,"10000",1997,150,320,"3985",1820,4,57
"Audi","Q3 35 TDI quattro Premium Plus",2900000,2018,"35000",1968,184,380,"4385",1831,5,64
"Maruti Suzuki","Baleno Sigma 1.2",545000,2017,"61518",1197,83,115,"3995",1745,5,37
"BMW","X1 sDrive20d xLine",2990000,2018,"34000",1995,184,350,"4454",2044,5,63
"Maruti Suzuki","Baleno Zeta 1.2",615000,2017,"36058",1197,83,115,"3995",1745,5,37
"Hyundai","Creta 1.6 SX Plus AT",890000,2016,"88000",1582,126,265,"4270",1780,5,60
"Volkswagen","Vento Comfortline Petrol",430000,2015,"98112",1598,103,153,"4384",1699,5,55
"Mercedes-Benz","C-Class 220 BlueEfficiency",1650000,2013,"58000",2143,170,400,"4596",1770,5,66
"Toyota","Camry Hybrid",1599000,2015,"92355",2494,202,270,"4825",1825,5,65
"Maruti Suzuki","DZire VXi",691000,2019,"16652",1197,89,113,"3995",1735,5,37
"Nissan","Terrano XV D THP 110 PS",650000,2016,"76584",1461,108,248,"4331",1822,5,50
"Maruti Suzuki","Wagon R LXI CNG",415000,2015,"42500",998,58,77,"3599",1495,5,35
"Maruti Suzuki","Vitara Brezza LDi (O) [2016-2018]",669000,2016,"70000",1248,89,200,"3995",1790,5,48
"Porsche","Cayenne Coupe Platinum Edition",16200000,2022,"2766",2995,335,450,"4931",1983,4,75
"Mercedes-Benz","C-Class Cabriolet C 300",5100000,2017,"56000",1991,241,370,"4686",1810,4,59
"Hyundai","Elite i20 Magna 1.2",525000,2015,"68766",1197,82,115,"3985",1734,5,45
"Hyundai","Verna 1.6 VTVT SX",750000,2018,"16339",1591,121,158,"4375",1700,5,43
"Honda","Amaze 1.2 SX i-VTEC",445000,2016,"63882",1198,87,109,"3990",1680,5,35
"Toyota","Corolla Altis 1.8 G",493000,2012,"28732",1798,138,173,"4540",1760,5,55
"Hyundai","Elite i20 Sportz 1.2 (O)",611000,2017,"51349",1197,82,115,"3985",1734,5,45
"Hyundai","Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016]",475000,2014,"61866",1197,79,112,"3765",1660,5,43
"Hyundai","Creta SX Plus 1.6  Petrol",925000,2017,"29401",1591,122,154,"4270",1780,5,60
"Audi","A6 2.0 TDI Premium",1325000,2012,"98580",1968,177,380,"4915",1874,5,65
"BMW","X1 sDrive20d xLine",3900000,2021,"8000",1995,184,350,"4454",2044,5,63
"Mahindra","XUV300 W8 (O) 1.5 Diesel",1299000,2020,"31348",1497,115,300,"3995",1821,5,42
"Maruti Suzuki","Swift ZDi Plus",580000,2018,"28851",1248,74,190,"3840",1735,5,37
"Mahindra","Thar LX 4-STR Hard Top Petrol MT",1575000,2021,"8519",1997,150,300,"3985",1820,4,57
"Mercedes-Benz","E-Class E 250 CDI Avantgarde",2250000,2015,"48000",2143,204,500,"4879",1854,5,80
"Toyota","Fortuner 3.0 4x2 AT",1400000,2014,"143000",2982,169,360,"4705",1840,7,80
"Tata","Zest XM 75 PS Diesel",425000,2017,"39000",1248,74,190,"3995",1706,5,44
"Skoda","Rapid Ambition 1.6 MPI AT Plus",425000,2014,"24000",1598,104,153,"4386",1699,5,55
"Maruti Suzuki","Alto 800 Lxi",250000,2015,"62000",796,47,69,"3395",1490,5,35
"Maruti Suzuki","Ertiga VDi",425000,2012,"78000",1248,89,200,"4265",1695,7,45
"Ford","Figo Duratorq Diesel ZXI 1.4",235000,2014,"82000",1399,68,160,"3795",1680,5,45
"Audi","A3 35 TDI Technology + Sunroof",3050000,2020,"40910",1968,141,320,"4456",1796,5,50
"Tata","Harrier XZ Plus",2145000,2020,"10290",1956,168,350,"4598",1894,5,50
"Hyundai","Elite i20 Asta (O) 1.0 Turbo DCT",1245000,2021,"10530",998,118,172,"3995",1775,5,37
"Hyundai","Elite i20 Asta 1.2",549000,2015,"61900",1197,82,115,"3985",1734,5,45
"Maruti Suzuki","Swift DZire VXI",415000,2014,"57402",1197,85,114,"3995",1695,5,42
"Hyundai","Santro GL (CNG)",200000,2013,"57000",1086,62,96,"3565",1525,5,35
"Hyundai","Grand i10 Sportz 1.2 Kappa VTVT [2013-2016]",375000,2015,"87500",1197,81,114,"3765",1660,5,43
"Hyundai","Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022]",1875000,2022,"18000",1353,138,242,"4300",1790,5,50
"Audi","Q2 Premium Plus I 40 TFSI quattro",2950000,2020,"10700",1984,188,320,"4318",1805,5,55
"Audi","Q7 45 TDI Premium Plus",4900000,2018,"78000",2967,245,600,"5052",1968,7,75
"Hyundai","Elite i20 Asta (O) 1.0 Turbo DCT",1050000,2020,"16282",998,118,172,"3995",1775,5,37
"Hyundai","Verna Fluidic 1.6 CRDi SX",470000,2013,"66000",1582,126,260,"4370",1700,5,43
"Maruti Suzuki","Wagon R VXI",345000,2017,"72019",998,67,90,"3599",1495,5,35
"Hyundai","Grand i10 Magna 1.2 Kappa VTVT [2013-2016]",484999,2018,"55221",1197,81,114,"3765",1660,5,43
"Toyota","Fortuner 2.8 4x2 AT [2016-2020]",3350000,2018,"25000",2755,174,450,"4795",1855,7,80
"Audi","Q5 45 TFSI Premium Plus",5651000,2022,"1",1984,248,370,"4663",1898,5,70
"Renault","Duster RXS 1.5 Petrol MT",890000,2020,"23500",1498,105,142,"4360",1822,5,50
"Maruti Suzuki","Swift DZire VXI",325000,2012,"68000",1197,85,114,"3995",1695,5,42
"Hyundai","Creta SX 1.6 AT Petrol",1390000,2019,"29096",1591,122,151,"4270",1780,5,55
"Hyundai","Grand i10 Magna 1.2 Kappa VTVT [2013-2016]",459999,2016,"61223",1197,81,114,"3765",1660,5,43
"Jeep","Compass Limited (O) 2.0 Diesel [2017-2020]",1075000,2017,"86000",1956,171,350,"4395",1818,5,60
"Hyundai","Verna EX 1.6 CRDi [2017-2018]",484999,2013,"87000",1582,126,260,"4440",1729,5,45
"Hyundai","i20 Magna 1.2",385000,2013,"79287",1197,83,113,"3995",1710,5,45
"Audi","A6 35 TDI Matrix",3900000,2018,"48945",1968,190,400,"4933",1874,5,75
"Mahindra","Marazzo M2 8 STR",1050000,2019,"17000",1497,121,300,"4585",1866,8,45
"Kia","Seltos HTX Plus 1.5 Diesel [2020-2021]",1575000,2019,"55000",1493,113,250,"4315",1800,5,50
"Maruti Suzuki","Baleno Alpha 1.2",655000,2016,"38779",1197,83,115,"3995",1745,5,37
"Mercedes-Benz","E-Class E 220d Expression [2019-2019]",4500000,2019,"72000",1950,192,400,"5063",1860,5,80
"Maruti Suzuki","Ertiga ZDI + SHVS",865000,2016,"67000",1248,89,200,"4296",1695,7,45
"Hyundai","Verna Fluidic 1.6 VTVT SX",699000,2017,"67000",1591,121,158,"4370",1700,5,43
"Hyundai","Verna Fluidic 1.6 CRDi SX",425000,2012,"70000",1582,126,260,"4370",1700,5,43
"Land Rover","Discovery Sport S",6500000,2020,"6000",1999,177,430,"4600",2069,7,70
"Toyota","Fortuner 2.8 4x2 AT [2016-2020]",2900000,2017,"46000",2755,174,450,"4795",1855,7,80
"Mercedes-Benz","GLE 250 d",4550000,2017,"34000",2143,201,500,"4819",2141,5,93
"Hyundai","Xcent S 1.2 (O)",490000,2015,"23103",1197,81,114,"3995",1660,5,43
"Mercedes-Benz","S-Class Maybach S 500",11500000,2016,"27000",4663,453,700,"5453",1899,4,70
"Hyundai","Creta SX 1.6 AT Petrol",1475000,2019,"9576",1591,122,151,"4270",1780,5,55
"MG","Astor Sharp 1.5 CVT",1764999,2021,"1942",1498,108,144,"4323",1809,5,48
"Maruti Suzuki","Alto 800 Lxi",245000,2016,"55000",796,47,69,"3395",1490,5,35
"Renault","Duster 85 PS RxL",490000,2015,"98000",1461,84,200,"4315",1822,5,50
"Hyundai","Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018]",550000,2017,"61400",1197,81,114,"3765",1660,5,43
"Honda","City V",675000,2016,"87693",1497,117,145,"4440",1695,5,40
"Mercedes-Benz","C-Class C 200 Avantgarde",2225000,2015,"31000",1991,181,300,"4686",1810,5,66
"Hyundai","Elite i20 Asta 1.4 (O) CRDi",560000,2016,"75210",1396,89,220,"3985",1734,5,40
"Skoda","Fabia Elegance 1.6 MPI",225000,2012,"69000",1598,105,153,"4000",1642,5,45
"Skoda","Rapid 1.5 TDI CR Ambition Plus AT",499000,2014,"88000",1498,103,250,"4386",1699,5,55
"Kia","Sonet GTX Plus 1.0 DCT [2020-2021]",1055000,2020,"15000",998,118,172,"3995",1790,5,45
"Mahindra","XUV500 W11 AT",2048999,2020,"45350",2179,153,360,"4585",1890,7,70
"BMW","3-Series 320d Luxury Line",2775000,2018,"68189",1995,188,400,"4633",1811,5,57
"Mercedes-Benz","GLA 200 CDI Sport",1650000,2015,"75000",2143,134,300,"4417",1804,5,50
"Audi","A6 35 TDI Premium",1450000,2014,"33000",1968,177,380,"4915",1874,5,65
"Mahindra","Scorpio VLX 2WD BS-IV",600000,2014,"83000",2179,120,290,"4430",1817,8,60
"Toyota","Fortuner 3.0 4x4 MT",1675000,2014,"211000",2982,169,343,"4705",1840,7,80
"Hyundai","Elite i20 Magna 1.2",575000,2015,"67000",1197,82,115,"3985",1734,5,45
"Ford","Ecosport Titanium+ 1.5L TDCi",699000,2017,"75000",1498,99,205,"3999",1765,5,52
"Audi","Q7 3.0 TDI quattro Premium Plus",2450000,2014,"48600",2967,241,550,"5089",1983,6,100
"Mercedes-Benz","C-Class C 250 d",2775000,2016,"48000",2143,204,500,"4686",1810,5,66
"Maruti Suzuki","S-Presso VXi",430000,2020,"5790",998,67,90,"3565",1520,5,27
"Mahindra","Scorpio S5 2WD 7 STR",1165000,2018,"32000",2179,120,280,"4456",1820,7,60
"MG","Hector Sharp 2.0 Diesel Turbo MT",1780000,2020,"65433",1956,169,350,"4655",1835,5,60
"Maruti Suzuki","Swift ZDi",495000,2017,"38258",1248,74,190,"3840",1735,5,37
"Honda","City VX (O) MT",975000,2019,"56881",1497,117,145,"4440",1695,5,40
"Renault","Duster 110 PS RxL Diesel",425000,2014,"72000",1461,108,248,"4315",1822,5,50
"Audi","Q3 2.0 TDI quattro Premium",1350000,2012,"72000",1968,174,380,"4385",1831,5,64
"Volvo","V40 Cross Country D3",1250000,2013,"71141",1984,150,350,"4370",1783,5,60
"BMW","5-Series 530d M Sport [2013-2017]",5600000,2018,"40937",2993,258,560,"4899",2094,5,65
"Maruti Suzuki","Swift DZire VDI",560000,2013,"37000",1248,74,190,"3995",1695,5,42
"Mahindra","Scorpio S5 2WD 7 STR",1221000,2019,"46000",2179,120,280,"4456",1820,7,60
"Mercedes-Benz","C-Class 200 CGI",1300000,2012,"64800",1796,186,285,"4596",1770,5,66
"Hyundai","Creta 1.6 SX Plus AT",950000,2016,"73000",1582,126,265,"4270",1780,5,60
"Mercedes-Benz","M-Class ML 350 CDI",2682000,2015,"76345",2997,254,619,"4804",2141,5,70
"Maruti Suzuki","Alto 800 Lxi",286000,2017,"40564",796,47,69,"3395",1490,5,35
"Hyundai","i20 Magna 1.4 CRDI",340000,2013,"98500",1336,89,219,"3995",1710,5,45
"Skoda","Rapid Style AT",1125000,2020,"46807",999,109,175,"4413",1699,5,55
"Tata","Nexon XMA Petrol",580000,2018,"81000",1198,108,170,"3994",1811,5,44
"Maruti Suzuki","Swift DZire VXI",495000,2015,"13716",1197,85,114,"3995",1695,5,42
"Maruti Suzuki","Swift DZire ZDI",550000,2014,"89000",1248,74,190,"3995",1695,5,42
"Kia","Sonet GTX Plus 1.5 AT [2020-2021]",1485000,2021,"13000",1493,113,250,"3995",1790,5,45
"Skoda","Rapid Monte Carlo 1.6 MPI MT",885000,2018,"38000",1598,104,153,"4413",1699,5,55
"Audi","RS5 4.2 Coupe",3650000,2012,"25500",4163,444,430,"4649",1860,5,64
"Hyundai","Grand i10 NIOS Magna AMT 1.2 Kappa VTVT",715000,2020,"17000",1197,82,114,"3805",1680,5,37
"Mercedes-Benz","R-Class R350 4MATIC",2485000,2012,"44724",3496,272,350,"5157",2183,7,80
"Toyota","Innova 2.4 G 7 STR [2016-2017]",2250000,2020,"24549",2393,148,343,"4735",1830,7,55
"Hyundai","Creta SX Plus 1.6 AT CRDI",1050000,2017,"97000",1582,126,265,"4270",1780,5,60
"Toyota","Fortuner 2.8 4x2 AT [2016-2020]",3600000,2018,"7800",2755,174,450,"4795",1855,7,80
"Renault","Kwid RXT Opt",375000,2019,"55000",799,53,72,"3679",1579,5,28
"Audi","A6 2.0 TFSi Technology Pack",7200000,2021,"20000",1984,180,320,"4915",1874,5,75
"Tata","Safari XZA Plus 6S Adventure New",2395000,2021,"13594",1956,168,350,"4661",1894,6,50
"Audi","A6 2.0 TDI Premium",1775000,2014,"75000",1968,177,380,"4915",1874,5,65
"Honda","Brio EX MT",325000,2014,"43037",1198,87,109,"3610",1680,5,35
"Maruti Suzuki","Swift ZDi",425000,2013,"26000",1248,74,190,"3850",1695,5,42
"Mahindra","Scorpio S9 2WD 7 STR",1475000,2020,"78000",2179,140,320,"4456",1820,7,60
"Toyota","Innova 2.8 GX AT 7 STR [2016-2020]",1580000,2018,"115000",2755,172,360,"4735",1830,7,55
"Honda","Amaze VX CVT 1.2 Petrol",869000,2021,"8700",1199,89,110,"3995",1695,5,35
"Mercedes-Benz","GLE 250 d",5850000,2019,"31000",2143,201,500,"4819",2141,5,93
"Jeep","Compass Longitude Plus 2.0 Diesel 4x4 AT",1900000,2020,"41736",1956,171,350,"4395",1818,5,60
"Maserati","Levante Diesel",9000000,2017,"40000",2979,275,600,"5005",1981,5,80
"Toyota","Fortuner 2.8 4x2 AT [2016-2020]",3550000,2020,"55000",2755,174,450,"4795",1855,7,80
"Porsche","Cayenne Turbo",3500000,2014,"160000",4806,500,700,"4846",1939,5,100
"Toyota","Innova GX 2.4 AT 7 STR",2425000,2022,"11000",2393,148,360,"4735",1830,7,55
"Audi","Q7 35 TDI Premium + Sunroof",2200000,2014,"95000",2967,241,550,"5089",1983,7,100
"Maruti Suzuki","Wagon R LXi 1.0 CNG [2019-2020]",520000,2019,"76000",998,58,78,"3655",1620,5,60
"Maruti Suzuki","Alto VXi (O)",390000,2018,"18000",998,67,90,"3545",1490,5,35
"Maruti Suzuki","Ciaz VXi (O)",540000,2015,"38000",1373,91,130,"4490",1730,5,43
"Maruti Suzuki","Swift VDi AMT [2018-2019]",699000,2018,"43000",1248,74,190,"3840",1735,5,37
"Hyundai","Verna Fluidic 1.6 CRDi SX",484999,2013,"107000",1582,126,260,"4370",1700,5,43
"Mercedes-Benz","C-Class C 43 AMG",7500000,2021,"13000",2996,362,520,"4702",1810,4,66
"Mercedes-Benz","E-Class E250 CDI BlueEfficiency",850000,2011,"85000",2143,203,500,"4868",1854,5,90
"Tata","Nexon XZA Plus Petrol",1085000,2018,"8922",1198,108,170,"3994",1811,5,44
"Maruti Suzuki","Alto 800 Vxi",319000,2013,"47800",796,47,69,"3395",1490,5,35
"Mahindra","XUV500 W8",549000,2012,"143000",2179,140,330,"4585",1890,7,70
"Tata","Harrier XZ [2019-2020]",1725000,2019,"68758",1956,138,350,"4598",1894,5,50
"Honda","Mobilio S Diesel",475000,2015,"72000",1498,99,200,"4386",1683,7,42
"Tata","Punch Creative iRA Pack MT",890000,2022,"7500",1199,84,113,"3827",1742,5,37
"Hyundai","Grand i10 Magna 1.2 Kappa VTVT [2017-2020]",445000,2016,"22402",1197,81,114,"3765",1660,5,43
"Honda","City V",1060000,2019,"12382",1497,117,145,"4440",1695,5,40
"Maruti Suzuki","Baleno Alpha 1.3",690000,2017,"61000",1248,74,190,"3995",1745,5,37
"Jaguar","F-Pace Prestige",4200000,2018,"90868",1999,177,430,"4731",2071,5,82
"Land Rover","Range Rover Sport SE 2.0 Petrol",12500000,2022,"22010",1997,296,400,"4879",2073,5,104
"Toyota","Fortuner 3.0 4x4 AT",1750000,2015,"72000",2982,169,343,"4705",1840,7,80
"Renault","Kwid 1.0 RXT Edition",395000,2018,"75500",999,67,91,"3679",1579,5,28
"BMW","X1 sDrive20d Expedition",2790000,2018,"25000",1995,188,400,"4439",1821,5,51
"Audi","Q3 35 TDI quattro Premium Plus",2475000,2018,"38000",1968,184,380,"4385",1831,5,64
"Hyundai","Elite i20 Asta 1.2 AT",750000,2018,"33647",1197,82,115,"3985",1734,5,40
"Mahindra","XUV500 W10",950000,2016,"86000",2179,138,330,"4585",1890,7,70
"Hyundai","Grand i10 Magna 1.2 Kappa VTVT [2013-2016]",569000,2018,"57847",1197,81,114,"3765",1660,5,43
"Maruti Suzuki","Swift DZire VXI",470000,2016,"74000",1197,83,115,"3995",1695,5,42
"Porsche","Cayenne Diesel",5350000,2015,"58000",2967,245,550,"4846",2155,5,85
"Nissan","Terrano XL D Plus",450000,2014,"85000",1461,84,200,"4331",1822,5,50
"Renault","Kwid 1.0 RXT [2016-2019]",299000,2016,"26000",999,67,91,"3679",1579,5,28
"Hyundai","Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022]",1875000,2020,"18000",1353,138,242,"4300",1790,5,50
"Mahindra","Thar LX 4-STR Hard Top Diesel AT",1825000,2022,"11000",2184,130,300,"3985",1820,4,57
"Land Rover","Discovery Sport HSE 7-Seater",4459000,2018,"57300",2179,148,400,"4600",2069,7,65
"Toyota","Glanza G CVT",790000,2019,"25000",1197,82,113,"3995",1745,5,37
"Hyundai","Creta 1.6 SX Plus AT Petrol",1095000,2017,"39000",1591,122,154,"4270",1780,5,60
"Toyota","Innova 2.4 G 7 STR [2016-2017]",1950000,2020,"45000",2393,148,343,"4735",1830,7,55
"Volkswagen","Polo GT TSI",525000,2015,"80852",1198,103,175,"3970",1682,5,45
"Isuzu","MU-X 4x2",2100000,2018,"75592",2999,174,380,"4825",1860,7,65
"Maruti Suzuki","Alto VXi",270000,2014,"54420",998,67,90,"3620",1475,5,35
"Toyota","Corolla Altis G AT Petrol",894999,2015,"39780",1798,138,173,"4620",1775,5,55
"Hyundai","i10 Sportz 1.2 AT Kappa2",335000,2013,"78301",1197,79,112,"3585",1595,5,35
"Tata","Hexa XE 4x2 7 STR",1000000,2018,"38000",2179,148,320,"4788",1903,7,60
"Hyundai","Creta 1.6 SX Plus AT Petrol",960000,2016,"37079",1591,122,154,"4270",1780,5,60
"Mercedes-Benz","GLS 350 d",7200000,2018,"87200",2987,255,620,"5130",1934,7,100
"Audi","Q3 2.0 TDI quattro Premium Plus",1300000,2014,"51000",1968,174,380,"4385",1831,5,64
"Volkswagen","Polo Comfortline 1.2L (P)",375000,2013,"39000",1198,74,110,"3970",1682,5,45
"Jaguar","XE Prestige Diesel",3299000,2017,"29999",1999,177,430,"4795",1967,5,56
"Audi","Q3 35 TDI Premium + Sunroof",1798999,2016,"84700",1968,174,380,"4385",1831,5,64
"Hyundai","Verna Fluidic 1.6 VTVT SX Opt",545000,2014,"56000",1591,121,158,"4370",1700,5,43
"Hyundai","Venue SX 1.0 Turbo iMT",1085000,2022,"3383",998,118,172,"3995",1770,5,45
"Maruti Suzuki","Vitara Brezza VDi",725000,2018,"42000",1248,89,200,"3995",1790,5,48
"BMW","X3 xDrive20d",1090000,2012,"65000",1995,184,380,"4648",1881,5,67
"Honda","WR-V VX MT Petrol",900000,2019,"17000",1199,89,110,"3999",1734,5,40
"BMW","5-Series 520d Luxury Line [2017-2019]",3400000,2016,"38000",1995,188,400,"4936",1868,5,65
"Honda","Amaze 1.5 S i-DTEC",295000,2014,"62500",1498,99,200,"3990",1680,5,35
"Tata","Harrier XZA Plus Dual Tone",2251000,2021,"30229",1956,168,350,"4598",1894,5,50
"Porsche","911 Carrera 4",9300000,2019,"9000",3436,325,390,"4491",1852,4,68
"Maruti Suzuki","Wagon R LXI CNG (O)",430000,2016,"26600",998,58,77,"3599",1495,5,35
"Maruti Suzuki","Ciaz Delta 1.3 Hybrid",600000,2017,"86000",1248,89,200,"4490",1730,5,43
"Hyundai","Tucson GL 2WD AT Petrol",1595000,2017,"86000",1999,153,192,"4475",1850,5,62
"Hyundai","i20 Sportz 1.2",375000,2013,"29135",1197,83,113,"3995",1710,5,45
